filename, language, Properties, Markdown, JSON, HTML, SCSS, JavaScript, JavaScript React, XML, comment, blank, total
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\.editorconfig, Properties, 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\CHANGELOG.md, Markdown, 0, 417, 0, 0, 0, 0, 0, 0, 0, 60, 477
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\CONTRIBUTING.md, Markdown, 0, 118, 0, 0, 0, 0, 0, 0, 0, 55, 173
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\CRA.md, Markdown, 0, 1676, 0, 0, 0, 0, 0, 0, 1, 797, 2474
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\ISSUE_TEMPLATE.md, Markdown, 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 21
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\REACT.md, Markdown, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\README.md, Markdown, 0, 124, 0, 0, 0, 0, 0, 0, 0, 54, 178
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\package-lock.json, JSON, 0, 0, 19562, 0, 0, 0, 0, 0, 0, 1, 19563
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\package.json, JSON, 0, 0, 68, 0, 0, 0, 0, 0, 10, 0, 78
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\public\index.html, HTML, 0, 0, 0, 30, 0, 0, 0, 0, 51, 3, 84
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\public\manifest.json, JSON, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\App.js, JavaScript, 0, 0, 0, 0, 0, 29, 0, 0, 3, 8, 40
