Date : 2020-03-18 11:04:00
Directory : c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\
Total : 230 files,  39840 codes, 248 comments, 2945 blanks, all 43033 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         42 |     19,879 |         10 |         41 |     19,930 |
| JavaScript       |        129 |     15,912 |        129 |      1,695 |     17,736 |
| Markdown         |          6 |      2,382 |          1 |        982 |      3,365 |
| JavaScript React |         21 |      1,442 |         34 |        180 |      1,656 |
| SCSS             |         28 |        125 |         20 |         39 |        184 |
| XML              |          2 |         59 |          2 |          2 |         63 |
| HTML             |          1 |         30 |         51 |          3 |         84 |
| Properties       |          1 |         11 |          1 |          3 |         15 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                |        230 |     39,840 |        248 |      2,945 |     43,033 |
| public                                                                                                                                                                                                           |          2 |         45 |         51 |          4 |        100 |
| src                                                                                                                                                                                                              |        219 |     17,772 |        185 |      1,955 |     19,912 |
| src\assets                                                                                                                                                                                                       |          2 |         59 |          2 |          2 |         63 |
| src\assets\img                                                                                                                                                                                                   |          2 |         59 |          2 |          2 |         63 |
| src\assets\img\brand                                                                                                                                                                                             |          2 |         59 |          2 |          2 |         63 |
| src\containers                                                                                                                                                                                                   |         11 |        516 |          5 |         60 |        581 |
| src\containers\DefaultLayout                                                                                                                                                                                     |         10 |        514 |          5 |         58 |        577 |
| src\containers\DefaultLayout\__tests__                                                                                                                                                                           |          4 |         34 |          0 |          8 |         42 |
| src\my-components                                                                                                                                                                                                |         12 |        371 |          4 |         56 |        431 |
| src\my-components\board                                                                                                                                                                                          |          2 |         24 |          0 |          7 |         31 |
| src\my-components\card                                                                                                                                                                                           |          2 |         25 |          0 |          8 |         33 |
| src\my-components\create-query-form                                                                                                                                                                              |          2 |         83 |          0 |          8 |         91 |
| src\my-components\drag-and-drop                                                                                                                                                                                  |          2 |        149 |          2 |         22 |        173 |
| src\my-components\visualization-settings                                                                                                                                                                         |          4 |         90 |          2 |         11 |        103 |
| src\my-components\visualization-settings\graph-visualization-settings                                                                                                                                            |          2 |         82 |          2 |          8 |         92 |
| src\my-components\visualization-settings\singlestat-visualization-settings                                                                                                                                       |          2 |          8 |          0 |          3 |         11 |
| src\my-pages                                                                                                                                                                                                     |         30 |      1,168 |         35 |        151 |      1,354 |
| src\my-pages\all-metrics                                                                                                                                                                                         |          2 |         76 |          2 |         10 |         88 |
| src\my-pages\all-panels                                                                                                                                                                                          |          2 |         63 |          0 |         10 |         73 |
| src\my-pages\dashboard-creation                                                                                                                                                                                  |          2 |         57 |         11 |          5 |         73 |
| src\my-pages\dashboards                                                                                                                                                                                          |          2 |         63 |          0 |         12 |         75 |
| src\my-pages\database-creation                                                                                                                                                                                   |          2 |         67 |          0 |          8 |         75 |
| src\my-pages\database-dashboard                                                                                                                                                                                  |          2 |        125 |          4 |         10 |        139 |
| src\my-pages\database-dashboards                                                                                                                                                                                 |          2 |         70 |          0 |          6 |         76 |
| src\my-pages\database-metrics                                                                                                                                                                                    |          2 |         62 |          2 |          9 |         73 |
| src\my-pages\database-panels                                                                                                                                                                                     |          2 |         66 |          0 |          9 |         75 |
